,type,url,review_rating,film_name,no_of_reviewer
199,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,94%,Her (2013),283
200,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,The Discreet Charm Of The Bourgeoisie (Le Charme Discret de la Bourgeoisie) (1972),53
201,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,96%,Miracle on 34th Street (1947),48
202,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,95%,Amy (2015),225
203,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,100%,The Decline of Western Civilization (1981),40
204,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,Blackfish (2013),131
205,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,96%,Groundhog Day (1993),85
206,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,100%,Taxi to the Dark Side (2007),93
207,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,Murderball (2005),141
208,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,Jodorowsky's Dune (2014),121
209,Top 100 Special Interest Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_special_interest_movies/,98%,Inside Job (2010),148
210,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,98%,Murderball (2005),141
211,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,100%,Athlete A (2020),56
212,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,98%,Hoop Dreams (1994),60
213,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,98%,When We Were Kings (1996),48
214,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,93%,Rocky (1976),67
215,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,97%,The King of Kong: A Fistful of Quarters (2007),102
216,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,96%,Undefeated (2012),102
217,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,91%,The Fighter (2010),254
218,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,98%,Surfwise (2007),46
219,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,97%,The Life and Times of Hank Greenberg (2000),65
220,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,94%,Touching the Void (2004),140
221,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,84%,Battle of the Sexes (2017),318
222,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,96%,The Crash Reel (2013),46
223,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,92%,Sugar (2008),138
224,Top 100 Sports & Fitness Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_sports__fitness_movies/,93%,Senna (2011),122
225,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,98%,Life Itself (2014),203
226,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,100%,Afghan Star (2009),62
227,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,94%,Room 237 (2013),133
228,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,97%,49 Up (2006),65
229,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,97%,A Film Unfinished (2010),65
230,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,96%,The Return (2004),89
231,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,94%,Behind the Candelabra (2013),108
232,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,95%,"Not Quite Hollywood: The Wild, Untold Story of Ozploitation! (2008)",66
233,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,95%,Being Elmo: A Puppeteer's Journey (2011),78
234,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,96%,Los Angeles Plays Itself (2003),45
235,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,94%,Lost in La Mancha (2003),101
236,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,91%,El Camino: A Breaking Bad Movie (2019),129
237,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,95%,Sing Your Song (2012),40
238,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,94%,American Movie (1999),48
239,Top 100 Television Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_television_movies/,94%,Best Worst Movie (2010),70
240,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,100%,The Treasure of the Sierra Madre (1948),52
241,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,97%,"The Good, the Bad and the Ugly (1966)",77
242,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,100%,Stagecoach (1939),45
243,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,95%,High Noon (1952),59
244,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,96%,Unforgiven (1992),106
245,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,95%,True Grit (2010),275
246,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,98%,A Fistful of Dollars (Per un Pugno di Dollari) (1964),51
247,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,98%,Rio Bravo (1959),43
248,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,96%,The Searchers (1956),49
249,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,95%,Once Upon a Time in the West (1968),65
250,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,98%,Deadwood: The Movie (2019),88
251,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,94%,Johnny Guitar (1954),47
252,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,89%,The Ballad of Buster Scruggs (2018),234
253,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,94%,The Man Who Shot Liberty Valance (1962),48
254,Top 100 Western Movies,https://www.rottentomatoes.com/top/bestofrt/top_100_western_movies/,93%,Giant (1956),45
